@relation en5_model_m03_2013-16_ClassC-1-LJ_22p-class2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute weekday numeric
@attribute weekend numeric
@attribute r_sava_sentjakob numeric
@attribute r_ljubljanica_moste numeric
@attribute s_lj_temp_avg numeric
@attribute s_lj_temp_max numeric
@attribute s_lj_temp_min numeric
@attribute s_lj_wind_speed numeric
@attribute s_lj_cloudiness numeric
@attribute s_lj_humidity numeric
@attribute s_lj_rainfall numeric
@attribute s_lj_snow_high numeric
@attribute s_lj_snow_new numeric
@attribute s_lj_sunshine_duration numeric
@attribute s_lj_wind_strong numeric
@attribute s_lj_wind_storm numeric
@attribute s_lj_thunderstorm numeric
@attribute s_lj_freezing_rain numeric
@attribute s_lj_hail numeric
@attribute s_lj_frost numeric
@attribute class2_callin_slo {0,1}

@data
6,2,83,32,-1.1,2,-7.4,0.1,100,85,13.4,40,21,0.5,0,0,0,0,0,0,0
7,3,83,32,0.6,2,-1.6,0.6,100,96,34.1,53,24,0,0,0,0,0,0,0,0
1,1,45,32,0.6,3,-1.4,0.8,100,95,13.1,50,2,0,0,0,0,0,0,0,0
2,1,45,32,2.1,4.1,-1,0.5,100,94,0.3,41,1,0,0,0,0,0,0,0,0
3,1,45,73,2.5,3.7,0.1,0.3,100,92,3.8,31,0,0,0,0,0,0,0,0,0
4,1,45,73,3.5,5.9,0.2,0.6,100,87,1.1,23,0,0,0,0,0,0,0,0,1
5,1,45,46,3.7,11,-1.4,0.8,37,83,0,20,0,5.8,0,0,0,0,0,0,0
6,2,45,46,3.1,8.2,-3.8,1.5,37,65,0,16,0,6.4,0,0,0,0,0,0,0
7,3,45,46,2,10.1,-8.3,0.8,3,65,0,15,0,9.4,0,0,0,0,0,0,0
1,1,45,46,1.9,8.7,-8.2,1.1,0,69,0,12,0,9.5,0,0,0,0,0,0,0
2,1,45,46,3.7,9,-6.8,0.6,60,70,0,10,0,5.6,0,0,0,0,0,0,0
3,1,45,46,4.3,6,1.2,0.9,100,95,0.5,9,0,0,0,0,0,0,0,0,0
4,1,123,144,6.3,8.5,2,0.4,100,94,9.9,6,0,0,0,0,0,0,0,0,0
5,1,123,144,9.5,13.4,2.8,1.1,80,87,2.6,5,0,1.2,0,0,0,0,0,0,0
6,2,123,144,7.6,9.8,2,0.3,97,95,0.1,0,0,0,0,0,0,0,0,0,0
7,3,123,144,6.9,8.1,4.8,0.8,100,96,13.8,0,0,0,0,0,0,0,0,0,0
1,1,295,144,6.9,12.1,3.2,1,70,88,5.4,0,0,2.7,0,0,0,0,0,0,0
2,1,295,144,7.1,8.2,2.6,1.2,100,94,0,0,0,0,0,0,0,0,0,0,0
3,1,295,144,5.7,8.6,3.5,1.5,100,96,3,0,0,0,0,0,0,0,0,0,0
4,1,123,144,1.5,5.2,2.7,2.4,97,77,17.5,0,0,0,1,0,0,0,0,0,0
5,1,123,144,1.2,5.2,-2.1,2,63,52,6.7,0,0,6.2,0,0,0,0,0,0,0
6,2,123,144,0.8,5.6,-8.5,1.7,7,52,0,0,0,10.1,0,0,0,0,0,0,0
7,3,123,144,2.2,3.5,-4,0.5,87,73,0,0,0,0.2,0,0,0,0,0,0,0
1,1,123,144,1.5,2.1,-1.3,0.9,100,97,3.4,0,0,0,0,0,1,0,0,0,0
2,1,123,144,7.1,13.5,-1.1,1.5,30,65,47.5,5,5,9,0,0,0,0,0,0,0
3,1,123,144,7.7,13.3,-3.6,1.4,63,68,0,0,0,6.4,0,0,0,0,0,0,0
4,1,123,144,8.6,14.3,3.3,2.6,53,48,1.8,0,0,6.6,1,0,0,0,0,0,0
5,1,123,144,6.7,14.6,-3.6,1.6,0,49,0,0,0,11.1,0,0,0,0,0,0,0
6,2,123,144,3.3,7.2,-3.4,1.6,80,60,0,0,0,3.8,0,0,0,0,0,0,0
7,3,123,144,-0.7,3.9,-1.1,2.2,100,89,0.4,3,3,0,0,0,0,0,0,0,0
1,1,123,144,-2.6,-1.6,-3.3,2.3,100,81,3.5,4,1,0,0,0,0,0,0,0,1
2,1,123,144,-1,1.7,-4,1.3,100,84,10.4,17,13,0,0,0,0,0,0,0,0
3,1,123,144,-0.4,1.8,-4.9,1,97,70,4.5,13,1,0,0,0,0,0,0,0,0
4,1,123,144,4.1,9.3,-10.9,0.5,53,66,0,10,0,8.3,0,0,0,0,0,0,0
5,1,123,144,5,7,2.6,0.9,100,95,13.4,0,0,0,0,0,0,0,0,0,0
6,2,123,200,4.4,5.7,3,0.8,100,97,19,0,0,0,0,0,0,0,0,0,0
7,3,123,225,3.8,5,2.9,1.3,100,92,25.3,0,0,0,0,0,0,0,0,0,0
1,1,157,231,2.3,3.4,1.2,1.3,100,87,15.8,0,0,0,0,0,0,0,0,0,0
2,1,157,200,1.9,4.8,0,2.3,100,90,3.6,0,0,0,0,0,0,0,0,0,0
3,1,157,170,3.6,6.2,0.3,1.4,100,86,9,0,0,0,0,0,0,0,0,0,0
4,1,157,130,6.5,9,1.9,1,93,74,0.6,0,0,1,0,0,0,0,0,0,0
5,1,92,130,5.8,8,3.1,1,100,92,2,0,0,0,0,0,0,0,0,0,0
6,2,92,130,6.6,7.7,4.2,1.2,100,85,10.1,0,0,0,0,0,0,0,0,0,0
7,3,92,130,6.5,8.5,4.5,3.3,93,55,1,0,0,1.2,1,0,0,0,0,0,0
1,1,92,130,7.3,10,1.5,1.7,87,52,0,0,0,4,0,0,0,0,0,0,0
2,1,157,130,9.4,14,4.3,0.2,80,62,0.1,0,0,4.2,1,0,0,0,0,0,0
3,1,157,130,10.6,15.6,-0.2,2.4,23,62,0.5,0,0,11.1,0,0,0,0,0,0,0
4,1,157,130,11.6,17.1,1.7,3,83,60,0,0,0,5.9,1,0,0,0,0,0,0
5,1,200,130,11.5,12.7,8.5,1.1,97,91,0,0,0,0.3,0,0,1,0,0,0,0
6,2,244,130,11.8,17.3,5.4,1.3,57,73,20.7,0,0,7.1,0,0,1,0,0,0,0
7,3,200,130,15.9,21.6,-0.2,0.9,13,52,3.1,0,0,11.3,0,0,0,0,0,0,0
1,1,157,130,16.3,21.7,3.5,2,37,49,0,0,0,10.8,0,0,0,0,0,0,0
2,1,157,130,15.2,19.5,6,0.9,70,44,0,0,0,6.7,0,0,0,0,0,0,0
3,1,157,130,17.4,24,4.1,0.1,50,52,0,0,0,9.6,0,0,0,0,0,0,0
4,1,157,130,19.4,27,4.3,0.9,27,55,0,0,0,12.4,0,0,0,0,0,0,0
5,1,157,130,15.4,21,7.3,1.6,63,75,0,0,0,2.4,0,0,0,0,0,0,1
6,2,157,130,15.5,19.1,5.5,1.2,77,60,0,0,0,3.6,0,0,0,0,0,0,0
7,3,157,130,13.5,21,4,1.3,87,71,0,0,0,7.6,1,0,1,0,0,0,0
1,1,157,130,11.5,14,5.8,1.2,100,89,20.9,0,0,0,0,0,0,0,0,0,0
2,1,157,130,14.4,20.5,9.2,2.1,47,62,3.5,0,0,8.4,0,0,0,0,0,0,0
3,1,157,85,16.1,23.5,1.5,3,3,50,0.1,0,0,13.1,1,0,0,0,0,0,1
4,1,157,85,17.5,27.1,2.2,1.6,3,53,0,0,0,13.2,0,0,0,0,0,0,1
5,1,157,85,18.1,24.8,4.8,2.7,47,45,0,0,0,10.7,1,0,0,0,0,0,1
6,2,157,85,16.3,19.6,11.2,2.3,87,72,0,0,0,2.7,0,0,0,0,0,0,0
7,3,157,85,17.1,21,12,3.8,73,73,0,0,0,6.1,1,0,0,0,0,0,0
1,1,157,85,18.9,24.3,6.6,1.6,93,60,0,0,0,5.7,0,0,0,0,0,0,0
2,1,157,85,18.5,26.1,6,2.6,57,59,0,0,0,8.1,1,0,0,0,0,0,1
3,1,170,72,21.8,29,7,1,37,55,0,0,0,9.7,0,0,0,0,0,0,0
4,1,170,72,16.7,23.1,13.2,0.5,97,82,0,0,0,0,0,0,0,0,0,0,0
