@relation 'model-2018, 4, y 2018 class2 LJ-weka.filters.unsupervised.attribute.NumericToNominal-Rlast'

@attribute weekday numeric
@attribute weekend numeric
@attribute r_sava_sentjakob numeric
@attribute r_ljubljanica_moste numeric
@attribute s_lj_temp_avg numeric
@attribute s_lj_temp_max numeric
@attribute s_lj_temp_min numeric
@attribute s_lj_wind_speed numeric
@attribute s_lj_cloudiness numeric
@attribute s_lj_humidity numeric
@attribute s_lj_rainfall numeric
@attribute s_lj_snow_high numeric
@attribute s_lj_snow_new numeric
@attribute s_lj_sunshine_duration numeric
@attribute s_lj_wind_strong numeric
@attribute s_lj_wind_storm numeric
@attribute s_lj_thunderstorm numeric
@attribute s_lj_freezing_rain numeric
@attribute s_lj_hail numeric
@attribute s_lj_frost numeric
@attribute class2_callin_slo {0,1}

@data
7,3,51.046,14.992,18.6,21.7,15.4,1,80,55,0.1,0,0,3.3,0,0,0,0,0,0,0
1,1,50.448,14.479,20.8,23.6,15.5,0.4,80,67,0,0,0,1.8,0,0,0,0,0,0,0
2,1,49.729,14.895,20.7,27.2,16.8,0.7,77,80,0,0,0,3.8,0,0,1,0,0,0,0
3,1,50.183,30.797,22.3,28.2,16.2,0.2,50,77,30.8,0,0,5.8,0,0,0,0,0,0,0
4,1,49.467,19.602,24.1,30.3,14,1,40,67,0,0,0,7.8,0,0,0,0,0,0,0
5,1,48.419,20.616,21.1,24.6,15.6,0.5,73,75,1.4,0,0,2.3,0,0,0,0,0,0,0
6,2,46.567,19.688,22.8,28.4,15.7,0.6,50,64,0,0,0,11.1,0,0,0,0,0,0,0
7,3,45.408,17.939,20.2,27.1,11.3,0.9,67,68,0,0,0,9.6,0,0,0,0,0,0,0
1,1,47.005,16.959,21.9,27.6,14.3,1.1,57,59,2,0,0,9.2,0,0,0,0,0,0,0
2,1,45.727,13.952,22.4,28.7,11.4,0.5,63,64,0,0,0,9.1,0,0,0,0,0,0,0
3,1,53.399,34.848,16.8,21.9,15.5,1.2,100,95,23.3,0,0,0,0,0,0,0,0,0,0
4,1,86.205,64.281,19.6,24.6,14.1,0,87,82,37.2,0,0,2.7,0,0,0,0,0,0,0
5,1,46.374,59.716,21.9,27.1,16,0.3,50,75,11.1,0,0,8.2,0,0,0,0,0,0,0
6,2,46.047,43.748,22.6,30.5,13,0.3,70,70,0,0,0,11.4,0,0,0,0,0,0,0
7,3,47.583,33.646,20.2,24.9,16.9,0.4,60,84,1.5,0,0,3.9,0,0,0,0,0,0,0
1,1,43.643,24.885,21.1,27.2,14.6,1.2,83,71,3.9,0,0,5.1,0,0,0,0,0,0,0
2,1,47.59,17.825,22.7,29.5,13.5,1.4,27,59,0,0,0,13,0,0,0,0,0,0,0
3,1,50.816,16.773,23.6,31,11.9,0.6,17,60,0,0,0,12.9,0,0,0,0,0,0,0
4,1,44.194,15.431,25,31.5,11.6,0.2,3,53,0,0,0,14.3,0,0,0,0,0,0,0
5,1,45.725,13.538,23,29.8,13.6,0.3,43,66,0,0,0,8.3,1,0,0,0,0,0,0
6,2,42.169,13.398,20.9,27.7,13.2,0.6,73,75,0,0,0,5.5,0,0,0,0,0,0,0
7,3,50.85,15.891,20.4,27.2,15.7,0.9,80,81,10.3,0,0,3.3,0,0,1,0,0,0,0
1,1,44.229,17.183,20,24.1,16.7,0.4,67,80,6.2,0,0,1,0,0,0,0,0,0,0
2,1,44.716,13.64,23.2,29.3,11.5,0.2,37,64,0,0,0,12.3,0,0,0,0,0,0,0
3,1,40.604,12.924,23.8,31.4,12.6,0.6,37,58,0,0,0,12.9,0,0,0,0,0,0,0
4,1,38.813,12.844,21.8,28.9,13.3,1,67,73,9.1,0,0,6.7,0,0,0,0,0,0,0
5,1,36.806,12.196,23.1,29.5,13.5,0.9,57,69,0.7,0,0,8.7,0,0,0,0,0,0,1
