idx,id,year,month,day,weekday,weekend,call_in,call_out,r_mura_gradgona,r_drava_borlformin,r_dravinja_videm,r_savinja_velikosirje,r_sava_radovljica,r_sava_sentjakob,r_sava_hrastnik,r_sava_catez,r_sora_suha,r_krka_podbocje,r_kolpa_radenci,r_ljubljanica_moste,r_soca_solkan,r_vipava_dolenje,r_idrijca_podroteja,r_reka_cmlin,accidents,accidents_people,s_br_temp_avg,s_br_temp_max,s_br_temp_min,s_br_wind_speed,s_br_cloudiness,s_br_humidity,s_br_rainfall,s_br_snow_high,s_br_snow_new,s_br_sunshine_duration,s_br_wind_strong,s_br_wind_storm,s_br_thunderstorm,s_br_freezing_rain,s_br_hail,s_br_frost,s_ce_temp_avg,s_ce_temp_max,s_ce_temp_min,s_ce_wind_speed,s_ce_cloudiness,s_ce_humidity,s_ce_rainfall,s_ce_snow_high,s_ce_snow_new,s_ce_sunshine_duration,s_ce_wind_strong,s_ce_wind_storm,s_ce_thunderstorm,s_ce_freezing_rain,s_ce_hail,s_ce_frost,s_kp_temp_avg,s_kp_temp_max,s_kp_temp_min,s_kp_wind_speed,s_kp_cloudiness,s_kp_humidity,s_kp_rainfall,s_kp_snow_high,s_kp_snow_new,s_kp_sunshine_duration,s_kp_wind_strong,s_kp_wind_storm,s_kp_thunderstorm,s_kp_freezing_rain,s_kp_hail,s_kp_frost,s_kr_temp_avg,s_kr_temp_max,s_kr_temp_min,s_kr_wind_speed,s_kr_cloudiness,s_kr_humidity,s_kr_rainfall,s_kr_snow_high,s_kr_snow_new,s_kr_sunshine_duration,s_kr_wind_strong,s_kr_wind_storm,s_kr_thunderstorm,s_kr_freezing_rain,s_kr_hail,s_kr_frost,s_lj_temp_avg,s_lj_temp_max,s_lj_temp_min,s_lj_wind_speed,s_lj_cloudiness,s_lj_humidity,s_lj_rainfall,s_lj_snow_high,s_lj_snow_new,s_lj_sunshine_duration,s_lj_wind_strong,s_lj_wind_storm,s_lj_thunderstorm,s_lj_freezing_rain,s_lj_hail,s_lj_frost,s_mb_temp_avg,s_mb_temp_max,s_mb_temp_min,s_mb_wind_speed,s_mb_cloudiness,s_mb_humidity,s_mb_rainfall,s_mb_snow_high,s_mb_snow_new,s_mb_sunshine_duration,s_mb_wind_strong,s_mb_wind_storm,s_mb_thunderstorm,s_mb_freezing_rain,s_mb_hail,s_mb_frost,s_ms_temp_avg,s_ms_temp_max,s_ms_temp_min,s_ms_wind_speed,s_ms_cloudiness,s_ms_humidity,s_ms_rainfall,s_ms_snow_high,s_ms_snow_new,s_ms_sunshine_duration,s_ms_wind_strong,s_ms_wind_storm,s_ms_thunderstorm,s_ms_freezing_rain,s_ms_hail,s_ms_frost,s_ng_temp_avg,s_ng_temp_max,s_ng_temp_min,s_ng_wind_speed,s_ng_cloudiness,s_ng_humidity,s_ng_rainfall,s_ng_snow_high,s_ng_snow_new,s_ng_sunshine_duration,s_ng_wind_strong,s_ng_wind_storm,s_ng_thunderstorm,s_ng_freezing_rain,s_ng_hail,s_ng_frost,s_nm_temp_avg,s_nm_temp_max,s_nm_temp_min,s_nm_wind_speed,s_nm_cloudiness,s_nm_humidity,s_nm_rainfall,s_nm_snow_high,s_nm_snow_new,s_nm_sunshine_duration,s_nm_wind_strong,s_nm_wind_storm,s_nm_thunderstorm,s_nm_freezing_rain,s_nm_hail,s_nm_frost,s_po_temp_avg,s_po_temp_max,s_po_temp_min,s_po_wind_speed,s_po_cloudiness,s_po_humidity,s_po_rainfall,s_po_snow_high,s_po_snow_new,s_po_sunshine_duration,s_po_wind_strong,s_po_wind_storm,s_po_thunderstorm,s_po_freezing_rain,s_po_hail,s_po_frost,bdp,unemployment
21,21,2015,1,21,4,1,1323,527,47,90,9,39,38,91,210,249,21,24,65,61,96,18,16,8,45,85,-2.1,4.3,,2.3,3,77,0,0,0,,0,0,0,0,0,0,-3.5,3.5,-12.8,1.7,10,82,0,0,0,7.4,0,0,0,0,0,0,1.9,8.3,-7,3.1,27,76,0,0,0,8.3,0,0,0,0,0,0,-4.1,3.9,,1,30,72,0,0,0,,0,0,0,0,0,0,-1.7,4,-10.5,0.8,17,72,0,0,0,8,0,0,0,0,0,0,-3.3,2.8,-10.6,1.1,43,78,0,0,0,6.6,0,0,0,0,0,0,-3.1,3.5,-9.8,1.6,10,77,0,0,0,6.3,0,0,0,0,0,0,2.5,10,-8.3,2.4,3,59,0,0,0,8.2,0,0,0,0,0,0,-2.2,2.8,-6.6,1.7,3,82,0,0,0,6.1,0,0,0,0,0,0,-1.8,5,-9.8,1.5,3,69,0,0,0,7.7,0,0,0,0,0,0,3.3,12.9
22,22,2015,1,22,5,1,1358,539,47,90,9,39,38,91,210,249,21,24,65,61,96,18,16,8,50,94,-3.4,1.8,,0.8,30,77,0,0,0,,0,0,0,0,0,0,-4,1.8,-9.5,1.1,37,79,0,0,0,3.8,0,0,0,0,0,0,1.6,8.7,-9,2.5,67,63,0,0,0,1.7,0,0,0,0,0,0,-5.1,0.6,,0.5,53,77,0,0,0,,0,0,0,0,0,0,-2.2,1,-4,0.8,40,70,0,0,0,4.5,0,0,0,0,0,0,-4,1.5,-9.4,1.3,20,75,0,0,0,6.4,0,0,0,0,0,0,-3.8,1.8,-9.3,1.1,3,75,0,0,0,6.7,0,0,0,0,0,0,0.6,7,-0.4,1.9,30,64,0,0,0,6.1,0,0,0,0,0,0,-2.7,2,-7.1,0.7,30,77,0,0,0,7.5,0,0,0,0,0,0,-3,0.8,-6,5.5,33,76,0,0,0,7.3,0,0,0,0,0,0,3.3,12.9
23,23,2015,1,23,6,2,1139,521,47,90,9,39,38,91,210,249,21,24,65,61,96,18,16,8,40,75,-5.3,-1.8,,0.9,63,95,0,0,0,,0,0,0,0,0,0,-6.1,-0.7,-13.1,0.7,63,97,0,0,0,0.2,0,0,0,0,0,0,2.3,9.4,-4.8,2.3,50,77,0,0,0,2.8,0,0,0,0,0,0,-6.7,0.1,,0.1,73,85,0,0,0,,0,0,0,0,0,0,-4.2,-0.4,-6.9,0.4,60,91,0,0,0,2.1,0,0,0,0,0,0,-5.4,-1.2,-12.6,1,73,84,0,0,0,0,0,0,0,0,0,0,-5.2,-2.3,-11.8,0.9,70,89,0,0,0,0,1,0,0,0,0,0,0,8.4,-7.7,0.7,43,80,0,0,0,4.6,0,0,0,0,0,0,-4.8,0.1,-9.5,1.5,63,92,0,0,0,0,0,0,0,0,0,0,-2.1,4.2,-10.4,0.9,70,90,0,0,0,1.5,0,0,0,0,0,0,3.3,12.9
24,24,2015,1,24,7,3,1132,534,47,90,9,39,38,91,210,249,21,24,65,61,96,18,16,8,30,56,-1.1,5.2,,0.6,27,85,0,0,0,,0,0,0,0,0,0,-2.4,5,-12.1,1.1,50,88,0,0,0,3.6,0,0,0,0,0,0,1.3,8.4,-5.3,3.6,37,80,0,0,0,4.7,0,0,0,0,0,0,-4.5,3.3,,0.3,50,80,0,0,0,,0,0,0,0,0,0,-2,3.3,-10,0.4,53,84,0,0,0,5.1,0,0,0,0,0,0,-0.3,6.9,-10.7,1.2,63,74,0,0,0,5.6,0,0,0,0,0,0,-1.3,6.8,-10.2,0.7,17,81,0.1,1,1,4.3,0,0,0,0,0,0,-0.4,7.9,-7.8,1.3,40,86,0,0,0,3.2,0,0,0,0,0,0,-0.6,6.9,-8.2,1.1,50,82,0,0,0,4.8,0,0,0,0,0,0,-0.8,9.9,-8.5,1.6,67,76,0,0,0,3.9,0,0,0,0,0,0,3.3,12.9
25,25,2015,1,25,1,1,1305,539,47,90,9,39,38,91,210,249,21,24,65,61,96,18,16,8,45,85,2.6,8.6,,0.5,67,82,0,0,0,,0,0,0,0,0,0,2.6,11.2,-6.5,0.9,67,75,0,0,0,3.9,0,0,0,1,0,0,2.5,8.9,-4.3,2.6,37,86,0,0,0,4.7,0,0,0,0,0,0,0.1,7.2,,1.1,67,74,0,0,0,,0,0,0,0,0,0,2.6,7.6,-2,0.7,67,75,0,0,0,2.6,0,0,0,0,0,0,2.8,9.3,-3.5,0.6,73,75,0,0,0,3.4,0,0,0,0,0,0,1.9,4.7,-4.7,1,97,88,0,0,0,0.6,1,1,0,0,0,0,1.2,8.7,-5.2,1.4,67,86,0,0,0,4.3,0,0,0,0,0,0,4.2,11.2,-2,1.5,60,70,0,0,0,3.6,0,0,0,0,0,0,1.3,10.2,-6,0.7,50,79,0,0,0,4.9,0,0,0,0,0,0,3.3,12.9
26,26,2015,1,26,2,1,1288,509,47,90,9,39,38,91,210,249,21,24,65,61,96,18,16,8,45,85,3.3,13.5,,0.9,23,76,0,0,0,,0,0,0,0,0,0,2.6,14.4,-5.9,0.7,40,79,0,0,0,5,0,0,0,0,0,0,3.7,9.4,-3.3,2.8,17,86,0,0,0,5.1,0,0,0,0,0,0,0.7,12.2,,0.6,20,72,0,0,0,,0,0,0,0,0,0,3.3,10.2,-4.3,0.4,37,73,0,0,0,6.7,0,0,0,0,0,0,4.4,15.1,-4,1.4,40,77,0.2,0,0,4.4,0,0,0,0,0,0,3.7,13.1,-3.3,0.9,20,79,0.7,0,0,5.5,0,0,0,0,0,0,2.1,11.3,-4.7,1.3,40,84,0,0,0,5.3,0,0,0,0,0,0,4.9,14.2,-1.6,1.4,30,73,0,0,0,6.3,0,0,0,0,0,0,2.6,14,-6,0,27,70,0,0,0,7,0,0,0,0,0,0,3.3,12.9
27,27,2015,1,27,3,1,1340,672,65,148,9,39,38,91,210,249,21,24,65,61,96,18,16,8,45,85,7.9,14.7,,3,23,70,0,0,0,,0,0,0,0,0,0,4.1,15.4,-6.7,1,47,80,0,0,0,7,0,0,0,0,0,0,6.7,9.9,-2.9,2.1,97,91,0,0,0,0,0,0,0,0,0,0,3.2,12.8,,0.7,50,75,0,0,0,,0,0,0,0,0,0,6.7,13,-4.7,1.5,40,73,0,0,0,7.5,0,0,0,0,0,0,5.1,15.9,-2.3,1.1,43,77,0,0,0,6.2,0,0,0,0,0,0,2.9,12.3,-4.4,0.6,30,83,0,0,0,4.9,0,0,0,0,0,0,4.5,9.8,-4.7,0.5,70,87,0,0,0,1.3,0,0,0,0,0,0,7.3,15.3,-2,1.5,30,76,0,0,0,8,0,0,0,0,0,0,5,10.7,-5.8,2.6,90,87,0,0,0,5.8,0,0,0,0,0,0,3.3,12.9
28,28,2015,1,28,4,1,1258,470,65,148,9,39,38,91,210,249,21,24,65,61,96,18,16,8,45,85,10.2,15.6,,5.7,20,71,0,0,0,,1,0,0,0,0,0,5.6,14.6,-2.5,2.4,20,82,0,0,0,7.4,0,0,0,0,0,0,8.7,10.4,1.4,1,100,91,0,0,0,0,0,0,0,0,0,0,3.1,13,,2.6,43,81,0,0,0,,0,0,0,0,0,0,7.1,11.5,3.5,2.1,63,79,0,0,0,0.9,0,0,0,0,0,0,5.2,16.1,-3.7,1.4,17,78,0,0,0,6.2,0,0,0,0,0,0,4.4,16.3,-4,1.3,10,81,0,0,0,7.3,0,0,0,0,0,0,7.8,10.2,3.8,0.5,100,91,0,0,0,0,0,0,0,0,0,0,8.1,15.4,2.9,2.2,33,81,0,0,0,7.2,1,0,0,0,0,0,7.8,8.8,5.8,2,100,96,0,0,0,1,0,0,0,0,0,0,3.3,12.9
29,29,2015,1,29,5,1,1216,497,65,148,9,39,38,91,210,249,21,24,65,61,96,18,16,8,51,94,6.2,15,,1.3,20,81,0,0,0,,0,0,0,0,0,0,2.8,14.2,-5,0.5,30,84,0,0,0,5.7,0,0,0,0,0,0,8.5,10.3,4,1.2,100,87,0,0,0,0,0,0,0,0,0,0,2.6,13.1,,1.9,23,83,0,0,0,,0,0,0,0,0,0,6.8,13.5,0.9,0.9,37,79,0,0,0,6,0,0,0,0,0,0,4.1,12.7,-2.8,1.2,27,80,0,0,0,5.4,0,0,0,0,0,0,4.1,12.7,-3,0.9,30,81,0,0,0,5.5,1,1,0,0,0,0,7.6,12.2,0.8,0.5,43,87,0,0,0,1.6,0,0,0,0,0,0,6.9,14.9,-1.1,1.2,10,81,0,0,0,4.8,0,0,0,0,0,0,7.8,10.3,3.8,1.4,100,89,0.1,0,0,1.8,0,0,0,0,0,0,3.3,12.9
30,30,2015,1,30,6,2,1615,825,65,148,9,39,38,91,210,249,21,24,65,61,96,18,16,8,40,75,7.2,12.8,,2.3,67,82,0,0,0,,0,0,0,0,0,0,7,11.3,-4.1,3.2,70,84,0,0,0,0.9,1,0,0,0,0,0,9.5,11,4.6,0.8,100,95,0,0,0,0,0,0,0,0,0,0,5.2,8.9,,2,77,90,0,0,0,,0,0,0,0,0,0,7.5,9.9,-1.3,2.2,93,86,0,0,0,0,0,0,0,0,0,0,7.8,13.2,-4.5,4.4,23,74,0,0,0,3.8,1,0,0,0,0,0,7.5,13.3,-4.1,3,53,82,0,0,0,1.9,1,0,0,0,0,0,6.1,8.1,1,0.5,97,98,0,0,0,0,0,0,0,0,0,0,7.2,10.9,-2.6,1.4,63,87,0,0,0,0.9,0,0,0,0,0,0,7.2,8,5.6,3.2,100,96,0,0,0,0.1,1,0,0,0,0,0,3.3,12.9
31,31,2015,1,31,7,3,1421,467,65,148,9,39,38,91,210,249,21,24,65,61,96,18,16,8,30,56,9.4,12.8,,1.9,100,79,0,0,0,,0,0,0,0,0,0,9.7,11.5,6.5,1.7,100,91,0.1,0,0,0,1,0,0,0,0,0,11.2,14.7,6.2,2.5,87,81,2.7,0,0,0.5,0,0,0,0,0,0,5.6,9,,0.3,100,97,0.1,0,0,,0,0,0,0,0,0,8.6,11.1,7.1,0.9,100,88,0.7,0,0,0,1,0,0,0,0,0,7.9,12,5.5,4,100,79,0,0,0,0,1,0,0,0,0,0,7.3,11.6,6.4,2.8,97,77,0,0,0,0.2,1,0,0,0,0,0,8.7,11.1,6.2,0.5,100,90,0.1,0,0,0,0,0,0,0,0,0,11.5,13.4,5.5,3,100,63,0,0,0,0,0,0,0,0,0,0,8.9,9.2,7.1,6.1,100,84,5.5,0,0,0.2,1,0,0,0,0,0,3.3,12.9
32,32,2015,2,1,1,1,1255,546,144,190,25,94,50,149,386,537,49,138,139,124,214,35,35,31,41,74,11.3,17,,3.8,60,72,0,0,0,,0,0,0,0,0,0,7.8,16.3,-0.6,2.1,73,84,1,0,0,5.8,0,0,0,0,0,0,8.2,11,4.9,1.8,83,94,0,0,0,0,0,0,0,0,0,0,6.6,13.9,,1.1,83,84,0.6,0,0,,0,0,0,0,0,0,11.9,14.5,5.7,1.6,80,70,0.3,0,0,1.1,0,0,0,0,0,0,10.6,17.9,2.6,2.1,93,73,0,0,0,6.5,0,0,0,0,0,0,8.1,17.1,2.8,1,93,85,0,0,0,3.9,0,0,0,0,0,0,8.7,10.8,5.2,0.6,100,96,0,0,0,0,0,0,0,0,0,0,10.5,16.9,1.3,2.2,67,80,0,0,0,5.6,0,0,0,0,0,0,10.1,11.3,8,5.9,100,91,0,0,0,0.5,0,0,0,0,0,0,3.3,12.6
33,33,2015,2,2,2,1,1196,468,144,190,4,12,50,149,386,537,49,138,139,23,20,6,4,2,41,74,13.7,16.9,,4.6,87,68,0,0,0,,1,0,0,0,0,0,12.3,14.3,2.5,5.4,93,70,0,0,0,0,1,0,0,0,0,0,8.9,10.2,-0.9,1.2,100,99,0.1,0,0,0,0,0,0,0,0,0,8.3,11.7,,2.1,93,81,0,0,0,,0,0,0,0,0,0,10.1,12.5,3.2,2.7,90,81,0,0,0,0,1,0,0,0,0,0,9.9,13.1,3.1,3,73,75,0,0,0,0,1,0,0,0,0,0,10,12.1,3,2.5,73,80,0,0,0,0,1,1,0,0,0,0,8.1,8.9,6.1,0.6,100,99,0,0,0,0,0,0,0,0,0,0,12.9,16.9,3,3.7,90,70,0,0,0,0.7,1,0,0,0,0,0,8.9,9.9,7,6,100,97,0,0,0,0.1,0,0,0,0,0,0,3.3,12.6
34,34,2015,2,3,3,1,1203,548,144,190,4,12,50,149,386,128,8,16,139,23,20,6,4,2,41,74,7.4,13.8,,2.4,100,81,0,0,0,,1,0,0,0,0,0,6.1,13.2,5.4,1.5,100,96,0,0,0,0,1,0,0,0,0,0,9.6,12.1,7.2,1.2,97,99,0.8,0,0,0,1,0,0,0,0,0,6,10.2,,1.5,100,91,0,0,0,,1,0,0,0,0,0,6.8,11.4,9.1,1.7,100,90,0,0,0,0,1,0,0,0,0,0,5.2,11.7,1.9,1.4,97,87,0,0,0,0,1,0,0,0,0,0,4,12.1,0.4,0.7,97,96,0,0,0,0,1,0,0,0,0,0,6.8,8.7,7.3,0.8,100,99,4.1,0,0,0,1,1,0,0,0,0,6.9,13.5,8.5,1,100,85,0,0,0,0,1,0,1,0,0,0,5.2,8.7,7.5,4.4,100,97,0.2,0,0,0.1,1,0,0,0,0,0,3.3,12.6
35,35,2015,2,4,4,1,1304,496,80,97,4,12,50,149,386,128,8,16,139,23,20,6,4,2,41,74,3.1,9,,1.8,60,75,17,0,0,,0,0,0,0,0,0,3.2,9.7,-3.5,1.9,57,73,15.4,0,0,6.3,0,0,0,0,0,0,5.5,12.4,-1.6,2.4,10,69,29.3,0,0,6.9,0,0,0,0,0,0,2.4,9.4,,1.2,53,75,15.1,0,0,,0,0,0,0,0,0,4.1,9,-1.1,1.1,47,72,29.9,0,0,6,0,0,0,0,0,0,4.1,8.9,-2.1,0.9,57,64,14,0,0,6.5,0,0,0,0,0,0,3.3,8.3,-0.3,1.1,63,70,12.9,0,0,5.3,0,0,0,0,0,0,4.2,12.6,-0.1,1.4,37,73,44.9,0,0,6.2,0,0,0,0,0,0,3,8,-2.1,1,67,80,17.1,0,0,4.6,0,0,0,0,0,0,1.1,7,-1.5,1.4,13,75,18.4,0,0,6.8,1,0,0,0,0,0,3.3,12.6
36,36,2015,2,5,5,1,1379,523,80,97,4,12,50,149,386,128,8,16,139,23,20,6,4,2,46,83,2.4,9.9,,0.6,23,78,0,0,0,,0,0,0,0,0,0,1.6,9.9,-6,1.8,43,80,0,0,0,6,0,0,0,0,0,0,4.6,12.3,-2.9,4.3,3,76,0,0,0,8.9,0,0,0,0,0,0,0.4,9.3,,1.4,23,78,0,0,0,,0,0,0,0,0,0,3.8,10.5,-3.6,0.9,27,71,0,0,0,8.1,0,0,0,0,0,0,3.6,8.8,-3.4,1.8,20,64,0,0,0,7.5,0,0,0,0,0,0,2.8,9.1,-2.8,1.5,53,74,0,0,0,7.7,0,0,0,0,0,0,3.8,13.2,-3.9,0.9,0,78,0,0,0,8.4,0,0,0,0,0,0,2.8,9.9,-4.6,1.1,13,74,0,0,0,8.1,0,0,0,0,0,0,0.7,9.7,-6.6,0.4,3,77,0,0,0,8.3,0,0,0,0,0,0,3.3,12.6
37,37,2015,2,6,6,2,1369,503,80,97,4,12,50,149,386,128,8,16,139,23,20,6,4,2,36,66,7.3,13.6,,5.1,7,63,0,0,0,,1,0,0,0,0,0,6.3,12.7,-6.5,4.2,30,68,0,0,0,8.1,1,0,0,0,0,0,7.4,14.3,-2.4,3,50,79,0,0,0,7.6,0,0,0,0,0,0,3,11.4,,1.5,23,71,0,0,0,,0,0,0,0,0,0,6.7,11.5,-4.6,3.1,27,73,0,0,0,6.3,1,0,0,0,0,0,6.1,12.6,-4.9,3.9,17,66,0,0,0,7.8,1,0,0,0,0,0,6.1,13.2,-4.5,2.5,10,69,0,0,0,6.8,0,0,0,0,0,0,6.4,13.2,-3.7,1.4,60,81,0,0,0,7.1,0,0,0,0,0,0,5.6,13.4,-5.2,2.2,13,71,0,0,0,7.8,0,0,0,0,0,0,3.6,9.5,-4.9,3.2,57,84,0,0,0,6,0,0,0,0,0,0,3.3,12.6
38,38,2015,2,7,7,3,1212,531,80,97,4,12,50,149,386,128,8,16,139,23,20,6,4,2,27,49,9.2,13.4,,3.5,87,59,0,0,0,,1,0,0,0,0,0,9.5,11.1,3.2,4.1,97,72,0,0,0,0,1,0,0,0,0,0,11.1,12.1,0.7,5.1,87,80,0,0,0,0,1,0,0,0,0,0,6.7,8.5,,1.5,100,80,0,0,0,,0,0,0,0,0,0,9.1,11.3,2.7,1.9,93,79,0,0,0,0.8,0,0,0,0,0,0,9.2,10.8,0.4,4.3,83,65,0,0,0,0,1,1,0,0,0,0,9.9,11.6,3.5,5,90,61,0,0,0,0,1,0,0,0,0,0,8.1,10.4,4.7,1.5,97,98,0,0,0,0,0,0,0,0,0,0,9.3,12.6,0,1.8,73,64,0,0,0,0.2,0,0,0,0,0,0,6.5,7,1.1,6.9,100,97,0,0,0,0.4,1,0,0,0,0,0,3.3,12.6
39,39,2015,2,8,1,1,975,445,80,97,25,94,50,149,386,537,49,138,139,124,214,35,35,31,41,74,11.6,15,,2.1,77,72,0,0,0,,1,0,0,0,0,0,9.4,13.5,2.1,1.4,93,95,0.7,0,0,0.4,1,0,0,0,0,0,11.9,13.3,8,4.4,93,86,3.6,0,0,0,1,0,0,0,0,0,7.8,9.7,,1.4,100,94,4.9,0,0,,0,0,0,0,0,0,9.5,11.6,6.3,2.2,97,93,3.7,0,0,0,1,0,0,0,0,0,10.7,13.2,4.9,5.1,90,71,0,0,0,0.4,1,0,0,0,0,0,10.7,14.5,4.1,3,70,68,0,0,0,0.7,1,0,0,0,0,0,9.6,11.8,7.5,2.7,100,97,14.3,0,0,0,1,1,0,0,0,0,12.6,14.5,4.8,4.4,87,61,0,0,0,0.9,1,0,0,0,0,0,8.7,9.1,6,7.8,100,98,30.2,0,0,0.3,1,0,0,0,0,0,3.3,12.6
40,40,2015,2,9,2,1,1172,527,80,97,25,94,167,477,750,537,150,138,139,124,800,80,150,124,41,74,11.6,15.4,,2.8,90,68,0,0,0,,1,0,0,0,0,0,11,13.8,7.1,4.6,87,77,1.2,0,0,0.7,1,0,0,0,0,0,11.9,15.4,6,3.9,97,76,4.9,0,0,1.7,1,0,0,0,0,0,8.6,10.4,,1,100,88,18.3,0,0,,0,0,0,0,0,0,10.5,11.8,7,2.7,90,79,7.8,0,0,0.3,1,0,0,0,0,0,10.4,14,6.1,5.4,83,71,0,0,0,3,1,0,0,0,0,0,12,14.6,5.6,4.6,37,62,0,0,0,3.9,1,0,0,0,0,0,10.3,13.2,6.9,2.7,100,91,32.2,0,0,0.1,1,0,0,0,0,0,11.9,15.1,6.1,4.3,87,67,0.1,0,0,1.4,1,0,0,0,0,0,8.1,11.3,6.5,7.6,100,87,25.3,0,0,1.2,1,0,0,0,0,0,3.3,12.6
41,41,2015,2,10,3,1,1452,625,144,190,25,94,167,477,750,537,206,138,139,124,1066,100,178,124,41,74,4.3,12.4,,1.7,70,94,5.6,0,0,,1,0,0,0,0,0,3.1,11,4,3.7,90,90,17.6,0,0,0.6,1,0,0,0,0,0,6,12,7.3,5.1,60,81,22.3,0,0,1.3,1,0,0,0,0,0,2.7,9.2,,2.8,77,84,36.6,0,0,,1,0,0,0,0,0,4.5,10.7,5.2,2,77,87,29.2,0,0,0,0,0,0,0,0,0,2.5,10,1.7,3.6,83,89,13.7,0,0,0.3,1,1,0,0,0,0,2.6,12.2,0.2,2.9,83,90,17.5,1,1,0,1,0,0,0,0,0,6.5,11.5,8.8,3.6,70,82,39.5,0,0,0.6,1,1,0,0,0,0,3.3,12.3,5.8,1.2,100,97,7.7,0,0,0,1,0,0,0,0,0,2.8,7.6,5.9,2.2,73,94,37.6,0,0,0,1,0,0,0,0,0,3.3,12.6
42,42,2015,2,11,4,1,1472,558,144,190,25,94,167,477,750,537,150,138,139,124,800,80,150,124,41,74,2.8,11.6,,0.5,10,77,7.2,0,0,,0,0,0,0,0,0,2,10.7,-5.5,1.7,30,82,5.7,0,0,8.6,0,0,0,0,0,0,6.5,12.5,-4.6,1.3,23,70,2.2,0,0,9,0,0,0,0,0,0,-0.3,8.3,,1.1,33,84,0.4,0,0,,0,0,0,0,0,0,3.1,9.1,-2.2,0.4,50,83,5.4,0,0,4.7,0,0,0,0,0,0,2.4,10.4,-4.6,0.3,20,71,4.9,0,0,7.4,0,0,0,0,0,0,2,11.5,-3.7,1.7,17,83,14.8,0,0,6.7,0,0,0,0,0,0,4.7,12.7,-3.6,1.6,7,73,0,0,0,8.3,0,0,0,0,0,0,3,10.9,-4,1,20,82,3.4,0,0,6.2,0,0,0,0,0,0,0.1,8.7,-5.5,0.8,60,83,1.6,0,0,5.6,0,0,0,0,0,0,3.3,12.6
43,43,2015,2,12,5,1,1221,605,144,190,25,94,50,149,386,537,49,138,139,124,214,35,35,31,46,83,0.8,3,,1.7,93,97,0,0,0,,0,0,0,0,0,0,0.3,1.5,-6.5,0.5,97,99,0,0,0,0,0,0,0,0,0,0,6.8,9.1,-0.5,2,97,85,1.5,0,0,0.6,0,0,0,0,0,0,0.2,2,,0.7,100,95,1.3,0,0,,0,0,0,0,0,0,0.9,3.5,-3,0.5,100,98,0,0,0,0,0,0,0,0,0,0,1.1,5.3,-5,1.8,97,91,0,0,0,0,0,0,0,0,0,0,1.5,4.3,-4.6,1.4,83,92,0,0,0,0,0,0,0,0,0,0,5.3,7,1.4,0.9,100,93,3.2,0,0,0,0,0,0,0,0,0,0.5,2.2,-4.1,0.6,100,98,0,0,0,0,0,0,0,0,0,0,0.5,1.8,-4.5,0.5,100,98,4.5,1,1,0,0,0,0,0,0,0,3.3,12.6
44,44,2015,2,13,6,2,1240,634,144,190,25,94,50,149,386,537,49,138,139,124,214,35,35,31,36,66,3.7,10.6,,3,53,86,14.9,0,0,,0,0,0,0,0,0,2.3,8.5,-0.1,1.6,70,92,18.8,8,8,5.9,0,0,0,0,0,0,7,10,1.4,3.2,80,86,27,0,0,3.2,0,0,0,0,0,0,1.2,4.6,,1.3,97,95,19,12,12,,1,1,0,0,0,0,2.6,6.9,-0.5,0.9,77,96,24,10,10,2.4,0,0,0,0,0,0,5.6,9.3,-0.1,4.6,73,78,12.9,0,0,5.8,1,0,0,0,0,0,3.7,7.8,1.3,1.9,67,92,10.8,0,0,3.1,0,0,0,0,0,0,6.2,10.3,4.1,1.6,97,88,21,0,0,3.7,0,0,0,0,0,0,3.7,9.6,-0.6,1.5,63,87,20.3,4,4,6.4,0,0,0,0,0,0,2.7,6,0,2,100,95,30.6,11,11,1.2,0,0,0,0,0,0,3.3,12.6
45,45,2015,2,14,7,3,1035,407,144,190,25,94,50,149,386,537,49,138,139,124,214,35,35,31,27,49,4.6,6.7,,1.9,70,97,4.7,0,0,,0,0,0,0,0,0,4.9,7.9,-1,1.9,80,99,0.6,1,0,0.3,0,0,0,0,0,0,8.5,10.4,3.4,1.7,77,97,0.8,0,0,0,0,0,0,0,0,0,2.1,3.7,,1.7,97,96,0,6,0,,0,0,0,0,0,0,3.1,4.4,-0.4,0.9,93,97,0.4,4,0,0,0,0,0,0,0,0,4.7,9.4,-2.9,1.1,70,92,1.8,0,0,0.6,0,0,0,0,0,0,6,8.9,-0.6,2.3,70,92,6.9,0,0,2.4,0,0,0,0,0,0,6.8,7.9,2.5,0.8,93,99,0.1,0,0,0,0,0,0,0,0,0,3.6,5.5,-2.1,0.9,73,99,2.5,0,0,0,0,0,0,0,0,0,5,7.9,2,1.5,100,98,2.6,4,0,0,0,0,0,0,0,0,3.3,12.6
