@relation 'model-2018, 4, y 2018 class2 LJ-weka.filters.unsupervised.attribute.NumericToNominal-Rlast'

@attribute weekday numeric
@attribute weekend numeric
@attribute r_sava_sentjakob numeric
@attribute r_ljubljanica_moste numeric
@attribute s_lj_temp_avg numeric
@attribute s_lj_temp_max numeric
@attribute s_lj_temp_min numeric
@attribute s_lj_wind_speed numeric
@attribute s_lj_cloudiness numeric
@attribute s_lj_humidity numeric
@attribute s_lj_rainfall numeric
@attribute s_lj_snow_high numeric
@attribute s_lj_snow_new numeric
@attribute s_lj_sunshine_duration numeric
@attribute s_lj_wind_strong numeric
@attribute s_lj_wind_storm numeric
@attribute s_lj_thunderstorm numeric
@attribute s_lj_freezing_rain numeric
@attribute s_lj_hail numeric
@attribute s_lj_frost numeric
@attribute class2_callin_slo {0,1}

@data
2,1,62.722,49.112,0.8,2.9,-1.6,1.9,97,83,0.3,13,0,0,0,0,0,0,0,0,0
3,1,65.074,47.038,1.9,3.5,-0.5,2.5,100,75,0,12,0,0,0,0,0,0,0,0,0
4,1,62.165,44.337,0,1.8,-0.5,2.3,100,91,0.1,11,0,0,0,0,0,0,0,0,0
5,1,55.314,41.905,0.4,2.2,-1.8,1.5,100,85,5.8,18,7,0,0,0,0,0,0,0,0
6,2,46.819,38.119,-1.1,1.3,-1.2,2,100,80,1,14,0,0,0,0,0,0,0,0,0
7,3,47.186,36.604,-5.7,-2.3,-7.1,2.3,60,54,0,14,0,7.8,1,0,0,0,0,0,0
1,1,44.204,34.507,-7.6,-6.6,-11.3,3.9,97,62,0,14,0,0,0,0,0,0,0,0,0
2,1,51.398,31.716,-7.2,-3.5,-9,3.1,93,61,0,13,0,1.4,0,0,0,0,0,0,0
3,1,51.35,30.446,-8,-3.4,-16,0.8,30,67,0,13,0,7.8,0,0,0,0,0,0,0
4,1,47.663,29.233,-6.1,-3.8,-12.8,0.8,93,79,0,13,0,0,0,0,0,0,0,0,0
5,1,44.3,28.593,-3.9,-2.8,-6.2,0.8,100,90,1.6,14,1,0,0,0,0,0,0,0,0
6,2,45.003,27.493,-2.2,-0.9,-4.4,0.5,100,91,2.3,15,2,0,0,0,0,0,0,0,0
7,3,46.263,26.448,0.5,2.5,-3.2,0.5,100,88,0.1,15,0,0,0,0,0,0,0,0,0
1,1,47.682,25.909,0.5,1.9,-0.6,0.6,100,95,0,14,0,0,0,0,0,0,0,0,0
2,1,45.815,26.397,1.1,3.2,-2.9,0.1,100,92,20,27,13,0,0,0,0,0,0,0,0
3,1,46.989,28.087,4.7,9.5,0,0.6,97,89,0.8,24,0,2.8,0,0,0,0,0,0,0
4,1,57.661,54.559,6.3,12.9,0.4,0.7,50,80,2,16,0,5.6,0,0,0,0,0,0,0
5,1,69.218,74.339,7,13,-3.5,2.4,43,69,0,10,0,8.8,1,0,0,0,0,0,0
6,2,77.583,118.196,9.1,11.6,2.5,2.9,87,71,0,7,0,0.6,0,0,0,0,0,0,0
7,3,111.982,159.01,6.2,8.9,4.7,0.2,100,93,0,0,0,0,0,0,0,0,0,0,0
1,1,375.119,201.908,9.2,13,3.6,1.7,80,82,10.9,0,0,4.2,0,0,0,0,0,0,0
2,1,304.605,202.619,9.1,16.8,0.4,1.4,77,79,1.6,0,0,7.3,0,0,0,0,0,0,0
3,1,246.58,194.835,7.6,13.5,0.3,0.6,73,82,3.5,0,0,3.7,0,0,1,0,0,0,0
4,1,212.543,189.31,8.4,13.8,0.7,1.7,97,73,12,0,0,3.7,1,0,0,0,0,0,0
5,1,220.576,195.555,6.9,10.5,5.1,0.8,87,89,9.8,0,0,0.9,0,0,0,0,0,0,0
6,2,195.682,206.828,4.8,6.7,0.8,1.3,100,96,3.1,0,0,0,0,0,0,0,0,0,0
7,3,183.524,214.507,1.1,5,0.6,1.2,100,91,20.8,0,0,0,0,0,0,0,0,0,0
1,1,163.075,201.399,-0.4,1.4,-1.8,2.2,100,79,0.9,1,1,0,0,0,0,0,0,0,0
2,1,137.871,183.372,0.1,1.7,-2,1.2,100,73,0.6,0,0,0,0,0,0,0,0,0,0
3,1,113.485,163.935,2.4,6.5,-1.4,4.2,47,47,0,0,0,7.9,1,0,0,0,0,0,0
4,1,101.1,142.952,1.9,7,-7.3,3.2,7,48,0,0,0,11,1,0,0,0,0,0,0
5,1,97.686,126.536,3.1,8.5,-6.8,0.9,57,60,0,0,0,6.7,0,0,0,0,0,0,0
6,2,90.421,109.928,5.2,10,0,0.8,50,59,0,0,0,2.9,0,0,0,0,0,0,0
7,3,83.226,107.314,4.6,8.1,-0.1,1,80,66,0,0,0,3.2,0,0,0,0,0,0,0
1,1,78.916,102.712,6.8,13,-2.7,1,40,65,0,0,0,8.9,0,0,0,0,0,0,0
2,1,76.386,99.732,7.5,12.5,0.1,0.8,73,71,0.1,0,0,3.1,0,0,0,0,0,0,0
3,1,75.546,98.878,9.8,16.1,-0.1,2,50,67,0.1,0,0,9.4,0,0,0,0,0,0,0
4,1,85.078,101.115,9.2,10.5,7.7,1.9,100,89,0,0,0,0,0,0,0,0,0,0,0
5,1,247.421,146.668,12,17.6,7.3,3.2,87,78,31.7,0,0,4,1,0,0,0,0,0,0
6,2,267.569,137.485,9.2,12,4.2,1.9,73,88,0.4,0,0,1.3,0,0,0,0,0,0,0
