@relation 'model-2018, 4, y 2018 class2 LJ-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute weekday numeric
@attribute weekend numeric
@attribute r_sava_sentjakob numeric
@attribute r_ljubljanica_moste numeric
@attribute s_lj_temp_avg numeric
@attribute s_lj_temp_max numeric
@attribute s_lj_temp_min numeric
@attribute s_lj_wind_speed numeric
@attribute s_lj_cloudiness numeric
@attribute s_lj_humidity numeric
@attribute s_lj_rainfall numeric
@attribute s_lj_snow_high numeric
@attribute s_lj_snow_new numeric
@attribute s_lj_sunshine_duration numeric
@attribute s_lj_wind_strong numeric
@attribute s_lj_wind_storm numeric
@attribute s_lj_thunderstorm numeric
@attribute s_lj_freezing_rain numeric
@attribute s_lj_hail numeric
@attribute s_lj_frost numeric
@attribute class2_callin_slo {0,1}

@data
0,0,0.222858,0.717569,0.635,0.586777,0.881857,0.380952,1,0.884615,0.001786,0,0,0,0,0,0,0,0,0,0
0.166667,0,0.399825,0.867347,0.5,0.417355,0.628692,0.119048,1,0.961538,0.4625,0,0,0,0,0,0,0,0,0,0
0.333333,0,0.321859,0.791482,0.58,0.607438,0.729958,0.309524,0.569892,0.673077,0,0,0,0.218182,1,0,0,0,0,0,0
0.5,0,0.241639,0.714652,0.495,0.421488,0.506329,0.02381,0.677419,0.961538,0.005357,0,0,0.072727,0,0,0,0,0,0,0
0.666667,0,0.209356,0.642319,0.75,0.595041,0.746835,0,1,0.961538,0,0,0,0,0,0,0,0,0,0,0
0.833333,0.5,0.208721,0.597774,0.925,0.842975,0.92827,0.357143,0.709677,0.846154,0.089286,0,0,0.190909,0,0,0,0,0,0,0
1,1,0.290301,0.567996,0.85,0.690083,0.924051,0.285714,0.860215,0.903846,0.016071,0,0,0,0,0,0,0,0,0,0
0,0,0.304543,0.528097,0.74,0.619835,0.738397,0.190476,1,1,0.005357,0,0,0,0,0,0,0,0,0,0
0.166667,0,0.40912,0.534969,0.745,0.595041,0.894515,0.047619,0.967742,0.961538,0.001786,0,0,0,0,0,1,0,0,0,0
0.333333,0,0.622474,0.775655,0.715,0.615702,0.92827,0.071429,0.967742,0.980769,0.428571,0,0,0,0,0,0,0,0,0,0
0.5,0,0.460991,0.699541,0.64,0.520661,0.801688,0.047619,1,0.942308,0.003571,0,0,0,0,0,0,0,0,0,0
0.666667,0,0.362706,0.618061,0.63,0.566116,0.56962,0.142857,0.645161,0.826923,0,0,0,0.454545,0,0,0,0,0,0,0
0.833333,0.5,0.263548,0.548537,0.64,0.528926,0.814346,0.357143,0.645161,0.596154,0,0,0,0.063636,0,0,0,0,0,0,0
1,1,0.19107,0.454241,0.475,0.438017,0.759494,0.428571,1,0.653846,0,0,0,0,0,0,0,0,0,0,0
0,0,0.192642,0.447258,0.41,0.330579,0.586498,0.238095,0.892473,0.653846,0.001786,0,0,0,0,0,0,0,0,0,0
0.166667,0,0.163057,0.432634,0.58,0.528926,0.649789,0.02381,0.967742,0.903846,0.017857,0.037037,0.045455,0,0,0,0,0,0,0,0
0.333333,0,0.150434,0.423541,0.58,0.557851,0.814346,0.190476,0.602151,0.576923,0.007143,0,0,0.063636,1,0,0,0,0,0,0
0.5,0,0.138697,0.408907,0.62,0.665289,0.316456,0.357143,0.139785,0.230769,0.003571,0,0,0.718182,1,0,0,0,0,0,0
0.666667,0,0.116673,0.410418,0.605,0.599174,0.71308,0.380952,1,0.865385,0,0,0,0,0,0,0,0,0,0,0
0.833333,0.5,0.08074,0.484003,0.51,0.491736,0.654008,0.047619,0.677419,0.788462,0.257143,0,0,0.4,0,0,0,0,0,0,0
1,1,0.089667,0.463218,0.675,0.706612,0.616034,0.666667,0.247312,0.211538,0,0,0,0.581818,1,0,0,0,0,0,0
0,0,0.104864,0.437518,0.53,0.561983,0.371308,0.214286,0.27957,0.403846,0,0,0,0.681818,0,0,0,0,0,0,0
0.166667,0,0.068758,0.412618,0.55,0.673554,0.438819,0.190476,0.107527,0.538462,0,0,0,0.727273,0,0,0,0,0,0,0
0.333333,0,0.069311,0.38555,0.645,0.690083,0.383966,0.380952,0.032258,0.442308,0,0,0,0.727273,0,0,0,0,0,0,0
0.5,0,0.092314,0.370545,0.67,0.632231,0.43038,0.047619,0.537634,0.673077,0,0,0,0.518182,1,0,0,0,0,0,0
0.666667,0,0.068839,0.354214,0.85,0.735537,0.915612,0.833333,0.645161,0.442308,0,0,0,0,0,0,0,0,0,0,0
0.833333,0.5,0.071623,0.325459,0.71,0.809917,0.578059,0.119048,0.215054,0.596154,0,0,0,0.654545,0,0,0,0,0,0,0
1,1,0.049554,0.230177,0.56,0.504132,0.700422,0.119048,1,0.942308,0,0,0,0,0,0,0,0,0,0,0
0,0,0.027082,0.120319,0.615,0.623967,0.675105,0.5,0.27957,0.923077,0,0,0,0.336364,0,0,0,0,0,0,0
0.166667,0,0.011375,0.107345,0.71,0.805785,0.767932,0.119048,0.322581,0.634615,0,0,0,0.590909,0,0,0,0,0,0,0
0.333333,0,0.017074,0.091979,0.67,0.582645,0.738397,0.428571,1,0.788462,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0.049034,0.087281,0.81,0.72314,0.869198,0.761905,0.967742,0.730769,0.064286,0,0,0,1,0,0,0,0,0,1
0.666667,0,0.41491,0.311679,0.45,0.599174,0.755274,0.142857,1,0.961538,0.430357,0,0,0,0,0,0,0,0,0,1
